season,team,conference,totalPlays,passingPlays,rushingPlays
2008,Air Force,Mountain West,683,112.0,547.0
2008,Akron,Mid-American,591,287.0,288.0
2008,Alabama,SEC,765,319.0,426.0
2008,Appalachian State,Sun Belt,39,22.0,15.0
2008,Arizona,Pac-12,677,345.0,320.0
2008,Arizona State,Pac-12,666,362.0,285.0
2008,Arkansas,SEC,697,395.00000000000006,292.0
2008,Arkansas State,Sun Belt,624,264.0,346.0
2008,Army,FBS Independents,668,117.0,543.0
2008,Auburn,SEC,754,335.0,407.00000000000006
2008,Ball State,Mid-American,735,345.0,377.0
2008,Baylor,Big 12,605,260.0,338.0
2008,Boise State,Mountain West,712,370.0,325.0
2008,Boston College,ACC,907,435.0,457.00000000000006
2008,Bowling Green,Mid-American,722,389.99999999999994,323.0
2008,Buffalo,Mid-American,874,461.99999999999994,399.0
2008,BYU,FBS Independents,764,424.0,331.0
2008,California,Pac-12,712,364.0,335.0
2008,Central Michigan,Mid-American,833,438.99999999999994,378.0
2008,Cincinnati,American Athletic,820,441.0,363.0
2008,Clemson,ACC,703,362.0,329.0
2008,Coastal Carolina,Sun Belt,31,17.0,14.0
2008,Colorado,Pac-12,742,368.0,365.0
2008,Colorado State,Mountain West,749,377.00000000000006,359.0
2008,Connecticut,American Athletic,793,317.0,454.00000000000006
2008,Duke,ACC,714,363.0,338.0
2008,East Carolina,American Athletic,879,423.0,436.0
2008,Eastern Michigan,Mid-American,686,367.0,313.0
2008,Florida,SEC,628,259.0,357.0
2008,Florida Atlantic,Conference USA,765,420.00000000000006,334.0
2008,Florida International,Conference USA,498,264.0,224.0
2008,Florida State,ACC,730,346.0,360.0
2008,Fresno State,Mountain West,785,352.0,419.0
2008,Georgia,SEC,701,347.0,339.0
2008,Georgia Southern,Sun Belt,34,17.0,17.0
2008,Georgia Tech,ACC,627,144.0,473.0
2008,Hawai'i,Mountain West,768,462.0,297.0
2008,Houston,American Athletic,732,459.0,263.0
2008,Illinois,Big Ten,740,370.0,355.0
2008,Indiana,Big Ten,592,304.0,279.0
2008,Iowa,Big Ten,700,293.0,387.0
2008,Iowa State,Big 12,724,384.99999999999994,324.0
2008,Kansas,Big 12,755,430.0,314.0
2008,Kansas State,Big 12,614,331.0,276.0
2008,Kent State,Mid-American,740,283.0,450.0
2008,Kentucky,SEC,757,384.0,357.0
2008,Louisiana,Sun Belt,710,274.0,428.0
2008,Louisiana Monroe,Sun Belt,557,270.0,279.0
2008,Louisiana Tech,Conference USA,796,343.0,439.99999999999994
2008,Louisville,ACC,731,353.0,373.0
2008,LSU,SEC,728,334.0,376.00000000000006
2008,Marshall,Conference USA,696,318.0,369.0
2008,Maryland,Big Ten,753,373.0,364.0
2008,Memphis,American Athletic,885,418.0,452.0
2008,Miami,ACC,622,320.99999999999994,285.0
2008,Miami (OH),Mid-American,728,407.0,301.0
2008,Michigan,Big Ten,737,331.0,395.0
